Initial Accuracy: 0.5000
Training the model...
Epoch 1/100, Loss: 0.7409, Train Accuracy: 0.5000, Test Accuracy: 0.5000, Time: 0.02s, LR: 0.001000
Saved improved model with accuracy: 0.5000
Epoch 2/100, Loss: 0.7397, Train Accuracy: 0.5000, Test Accuracy: 0.5000, Time: 0.01s, LR: 0.001000
Epoch 3/100, Loss: 0.7377, Train Accuracy: 0.5000, Test Accuracy: 0.5000, Time: 0.01s, LR: 0.001000
Epoch 4/100, Loss: 0.7384, Train Accuracy: 0.5000, Test Accuracy: 0.5000, Time: 0.01s, LR: 0.001000
Epoch 5/100, Loss: 0.7414, Train Accuracy: 0.5000, Test Accuracy: 0.5000, Time: 0.01s, LR: 0.001000
Epoch 6/100, Loss: 0.7371, Train Accuracy: 0.5000, Test Accuracy: 0.5000, Time: 0.01s, LR: 0.001000
Epoch 7/100, Loss: 0.7355, Train Accuracy: 0.5167, Test Accuracy: 0.5000, Time: 0.01s, LR: 0.001000
Epoch 8/100, Loss: 0.7317, Train Accuracy: 0.5000, Test Accuracy: 0.5000, Time: 0.01s, LR: 0.001000
Epoch 9/100, Loss: 0.7283, Train Accuracy: 0.5167, Test Accuracy: 0.5000, Time: 0.01s, LR: 0.001000
Epoch 10/100, Loss: 0.7261, Train Accuracy: 0.5500, Test Accuracy: 0.5000, Time: 0.01s, LR: 0.001000
Epoch 11/100, Loss: 0.7131, Train Accuracy: 0.8000, Test Accuracy: 0.5600, Time: 0.01s, LR: 0.001000
Saved improved model with accuracy: 0.5600
Epoch 12/100, Loss: 0.7063, Train Accuracy: 0.7500, Test Accuracy: 0.5600, Time: 0.01s, LR: 0.001000
Epoch 13/100, Loss: 0.6879, Train Accuracy: 0.7500, Test Accuracy: 0.6200, Time: 0.03s, LR: 0.001000
Saved improved model with accuracy: 0.6200
Epoch 14/100, Loss: 0.6561, Train Accuracy: 0.8333, Test Accuracy: 0.6400, Time: 0.02s, LR: 0.001000
Saved improved model with accuracy: 0.6400
Epoch 15/100, Loss: 0.6142, Train Accuracy: 0.7833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.001000
Saved improved model with accuracy: 0.7600
Epoch 16/100, Loss: 0.5958, Train Accuracy: 0.8333, Test Accuracy: 0.6800, Time: 0.02s, LR: 0.001000
Epoch 17/100, Loss: 0.5469, Train Accuracy: 0.9000, Test Accuracy: 0.6400, Time: 0.01s, LR: 0.001000
Epoch 18/100, Loss: 0.5111, Train Accuracy: 0.7833, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.001000
Epoch 19/100, Loss: 0.4092, Train Accuracy: 0.8833, Test Accuracy: 0.6200, Time: 0.01s, LR: 0.001000
Epoch 20/100, Loss: 0.3594, Train Accuracy: 0.8833, Test Accuracy: 0.6600, Time: 0.01s, LR: 0.001000
Epoch 21/100, Loss: 0.3327, Train Accuracy: 0.9167, Test Accuracy: 0.6600, Time: 0.01s, LR: 0.001000
Epoch 22/100, Loss: 0.3062, Train Accuracy: 0.9333, Test Accuracy: 0.6800, Time: 0.01s, LR: 0.001000
Epoch 23/100, Loss: 0.3017, Train Accuracy: 0.9167, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.001000
Epoch 24/100, Loss: 0.2514, Train Accuracy: 0.9167, Test Accuracy: 0.6800, Time: 0.01s, LR: 0.001000
Epoch 25/100, Loss: 0.2259, Train Accuracy: 0.9167, Test Accuracy: 0.7800, Time: 0.01s, LR: 0.001000
Saved improved model with accuracy: 0.7800
Epoch 26/100, Loss: 0.1335, Train Accuracy: 0.9667, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.001000
Epoch 27/100, Loss: 0.1169, Train Accuracy: 0.9833, Test Accuracy: 0.7400, Time: 0.01s, LR: 0.001000
Epoch 28/100, Loss: 0.1691, Train Accuracy: 0.9333, Test Accuracy: 0.7200, Time: 0.01s, LR: 0.001000
Epoch 29/100, Loss: 0.1173, Train Accuracy: 0.9833, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.001000
Epoch 30/100, Loss: 0.1299, Train Accuracy: 0.9500, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.001000
Epoch 31/100, Loss: 0.0630, Train Accuracy: 1.0000, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.001000
Epoch 32/100, Loss: 0.0519, Train Accuracy: 0.9833, Test Accuracy: 0.7400, Time: 0.01s, LR: 0.001000
Epoch 33/100, Loss: 0.0706, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.001000
Epoch 34/100, Loss: 0.2309, Train Accuracy: 0.9000, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.001000
Epoch 35/100, Loss: 0.0557, Train Accuracy: 1.0000, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.001000
Epoch 36/100, Loss: 0.1583, Train Accuracy: 0.9333, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.001000
Epoch 37/100, Loss: 0.0673, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.001000
Epoch 38/100, Loss: 0.0738, Train Accuracy: 0.9833, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.000500
Epoch 39/100, Loss: 0.1091, Train Accuracy: 0.9667, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000500
Epoch 40/100, Loss: 0.1086, Train Accuracy: 0.9500, Test Accuracy: 0.7800, Time: 0.01s, LR: 0.000500
Epoch 41/100, Loss: 0.0492, Train Accuracy: 0.9833, Test Accuracy: 0.7200, Time: 0.01s, LR: 0.000500
Epoch 42/100, Loss: 0.0539, Train Accuracy: 0.9833, Test Accuracy: 0.7200, Time: 0.01s, LR: 0.000500
Epoch 43/100, Loss: 0.0562, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000500
Epoch 44/100, Loss: 0.0632, Train Accuracy: 0.9667, Test Accuracy: 0.7800, Time: 0.01s, LR: 0.000500
Epoch 45/100, Loss: 0.0428, Train Accuracy: 1.0000, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.000500
Epoch 46/100, Loss: 0.0706, Train Accuracy: 0.9833, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.000500
Epoch 47/100, Loss: 0.0303, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000500
Epoch 48/100, Loss: 0.0430, Train Accuracy: 0.9833, Test Accuracy: 0.8000, Time: 0.01s, LR: 0.000500
Saved improved model with accuracy: 0.8000
Epoch 49/100, Loss: 0.0346, Train Accuracy: 1.0000, Test Accuracy: 0.8000, Time: 0.01s, LR: 0.000500
Epoch 50/100, Loss: 0.0306, Train Accuracy: 1.0000, Test Accuracy: 0.7400, Time: 0.01s, LR: 0.000500
Epoch 51/100, Loss: 0.0244, Train Accuracy: 0.9833, Test Accuracy: 0.7200, Time: 0.01s, LR: 0.000500
Epoch 52/100, Loss: 0.0822, Train Accuracy: 0.9667, Test Accuracy: 0.7800, Time: 0.01s, LR: 0.000500
Epoch 53/100, Loss: 0.0348, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000500
Epoch 54/100, Loss: 0.0366, Train Accuracy: 0.9833, Test Accuracy: 0.8000, Time: 0.01s, LR: 0.000500
Epoch 55/100, Loss: 0.0388, Train Accuracy: 1.0000, Test Accuracy: 0.7200, Time: 0.01s, LR: 0.000500
Epoch 56/100, Loss: 0.0510, Train Accuracy: 0.9667, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000500
Epoch 57/100, Loss: 0.0210, Train Accuracy: 1.0000, Test Accuracy: 0.8000, Time: 0.01s, LR: 0.000500
Epoch 58/100, Loss: 0.0430, Train Accuracy: 0.9667, Test Accuracy: 0.7000, Time: 0.01s, LR: 0.000500
Epoch 59/100, Loss: 0.0456, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000500
Epoch 60/100, Loss: 0.0325, Train Accuracy: 0.9833, Test Accuracy: 0.8200, Time: 0.01s, LR: 0.000500
Saved improved model with accuracy: 0.8200
Epoch 61/100, Loss: 0.0399, Train Accuracy: 0.9833, Test Accuracy: 0.7400, Time: 0.01s, LR: 0.000500
Epoch 62/100, Loss: 0.0271, Train Accuracy: 1.0000, Test Accuracy: 0.7200, Time: 0.01s, LR: 0.000500
Epoch 63/100, Loss: 0.0251, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.02s, LR: 0.000250
Epoch 64/100, Loss: 0.0165, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000250
Epoch 65/100, Loss: 0.0320, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000250
Epoch 66/100, Loss: 0.0673, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000250
Epoch 67/100, Loss: 0.0268, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000250
Epoch 68/100, Loss: 0.0647, Train Accuracy: 0.9667, Test Accuracy: 0.8000, Time: 0.02s, LR: 0.000250
Epoch 69/100, Loss: 0.0281, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.02s, LR: 0.000250
Epoch 70/100, Loss: 0.0191, Train Accuracy: 1.0000, Test Accuracy: 0.7200, Time: 0.01s, LR: 0.000125
Epoch 71/100, Loss: 0.0420, Train Accuracy: 0.9667, Test Accuracy: 0.7200, Time: 0.01s, LR: 0.000125
Epoch 72/100, Loss: 0.0452, Train Accuracy: 1.0000, Test Accuracy: 0.7200, Time: 0.01s, LR: 0.000125
Epoch 73/100, Loss: 0.0410, Train Accuracy: 0.9833, Test Accuracy: 0.8000, Time: 0.01s, LR: 0.000125
Epoch 74/100, Loss: 0.0187, Train Accuracy: 1.0000, Test Accuracy: 0.8200, Time: 0.01s, LR: 0.000125
Epoch 75/100, Loss: 0.0254, Train Accuracy: 1.0000, Test Accuracy: 0.8000, Time: 0.01s, LR: 0.000125
Epoch 76/100, Loss: 0.0196, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 77/100, Loss: 0.0235, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 78/100, Loss: 0.0335, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 79/100, Loss: 0.0161, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 80/100, Loss: 0.0160, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 81/100, Loss: 0.0163, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 82/100, Loss: 0.0190, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 83/100, Loss: 0.0153, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 84/100, Loss: 0.0109, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 85/100, Loss: 0.0172, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.02s, LR: 0.000063
Epoch 86/100, Loss: 0.0228, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.02s, LR: 0.000063
Epoch 87/100, Loss: 0.0244, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.02s, LR: 0.000063
Epoch 88/100, Loss: 0.0119, Train Accuracy: 1.0000, Test Accuracy: 0.7400, Time: 0.01s, LR: 0.000063
Epoch 89/100, Loss: 0.0334, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000063
Epoch 90/100, Loss: 0.0167, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000031
Epoch 91/100, Loss: 0.0343, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000031
Epoch 92/100, Loss: 0.0283, Train Accuracy: 0.9833, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000031
Epoch 93/100, Loss: 0.0161, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000031
Epoch 94/100, Loss: 0.0387, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000031
Epoch 95/100, Loss: 0.0130, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000031
Epoch 96/100, Loss: 0.0172, Train Accuracy: 1.0000, Test Accuracy: 0.7600, Time: 0.01s, LR: 0.000016
